Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,373.86,375.9,366.771,370.87,366.735143847727,25258633
2024-01-03,369.01,373.2562,368.51,370.6,366.468154097036,23083465
2024-01-04,370.665,373.1,367.17,367.94,363.837810627262,20901502
2024-01-05,368.97,372.06,366.5,367.75,363.64992895085,20074451
2024-01-08,369.3,375.2,369.01,374.69,370.512554394545,23133967
2024-01-09,372.01,375.99,371.19,375.79,371.60029041588,20829953
2024-01-10,376.37,384.17,376.32,382.77,378.502469896715,25514245
2024-01-11,386.0,390.68,380.38,384.63,380.341732623699,27850846
2024-01-12,385.49,388.68,384.65,388.47,384.138920189087,21661153
2024-01-16,393.66,394.03,387.6229,390.27,385.918851860362,27202268
2024-01-17,387.98,390.11,384.81,389.47,385.127771117573,22234108
2024-01-18,391.72,393.99,390.12,393.87,389.478715202913,23392068
2024-01-19,395.76,398.67,393.5,398.67,394.225199659648,29331136
2024-01-22,400.02,400.62,393.59,396.51,392.089281654117,27016902
2024-01-23,395.75,399.38,393.93,398.9,394.452635373199,20525882
2024-01-24,401.54,405.63,400.45,402.56,398.071829771459,23281889
2024-01-25,404.32,407.01,402.5294,404.87,400.356075416263,21021155
2024-01-26,404.37,406.17,402.43,403.93,399.426555543486,17803271
2024-01-29,406.06,409.98,404.33,409.72,405.152002419422,24510236
2024-01-30,412.26,413.05,406.4501,408.59,404.034600870232,33477610
2024-01-31,406.96,415.32,397.21,397.58,393.147352147597,47871097
2024-02-01,401.83,408.0,401.8,403.78,399.278227904213,30657726
2024-02-02,403.81,412.65,403.56,411.22,406.635278812151,28256670
2024-02-05,409.9,411.16,403.99,405.65,401.127379140482,25352286
2024-02-06,405.88,407.97,402.91,405.49,400.969162991924,18382624
2024-02-07,407.44,414.3,407.4,414.05,409.433726939767,22340526
2024-02-08,414.05,415.56,412.53,414.11,409.493057995477,21225257
2024-02-09,415.25,420.82,415.09,420.55,415.861257974929,22032844
2024-02-12,420.555,420.74,414.75,415.26,410.630236563236,21202921
2024-02-13,404.94,410.071,403.39,406.32,401.789909262568,27824936
2024-02-14,408.07,409.84,404.57,409.49,405.666204902234,20401190
2024-02-15,408.14,409.13,404.29,406.56,402.763565081082,21825525
2024-02-16,407.96,408.29,403.44,404.06,400.286909943581,22296495
2024-02-20,403.24,404.49,398.01,402.79,399.02876913373,24307915
2024-02-21,400.17,402.29,397.22,402.18,398.424465280179,18631072
2024-02-22,410.19,412.83,408.57,411.65,407.806034941036,27009869
2024-02-23,415.67,415.86,408.97,410.34,406.508267648985,16295879
2024-02-26,411.455,412.16,407.36,407.54,403.734413894983,16193505
2024-02-27,407.99,408.32,403.85,407.48,403.674974171683,14835827
2024-02-28,408.175,409.3,405.3201,407.72,403.912733064883,13183125
2024-02-29,408.64,414.2,405.92,413.64,409.777452430487,31947263
2024-03-01,411.27,415.87,410.88,415.5,411.620083852789,17823445
2024-03-04,413.44,417.35,412.32,414.92,411.045499860888,17595956
2024-03-05,413.96,414.25,400.64,402.65,398.89007644603,26919177
2024-03-06,402.97,405.16,398.39,402.09,398.335305695229,22344149
2024-03-07,406.12,409.78,402.24,409.14,405.319473182984,18718479
2024-03-08,407.96,410.42,404.33,406.22,402.426739982382,18002186
2024-03-11,403.76,405.68,401.26,404.52,400.742614488881,15998511
2024-03-12,407.62,415.57,406.79,415.28,411.402138200688,21563656
2024-03-13,418.1,418.18,411.45,415.1,411.223819030788,16990048
2024-03-14,420.24,427.82,417.99,425.22,421.249319027395,33955263
2024-03-15,419.29,422.6,412.79,416.42,412.531492943389,45079903
2024-03-18,414.25,420.73,413.78,417.32,413.42308879289,20105977
2024-03-19,417.83,421.6656,415.55,421.41,417.474896597843,19837915
2024-03-20,422.0,425.96,420.66,425.23,421.259225647945,17860085
2024-03-21,429.83,430.82,427.16,429.37,425.360566555648,21296222
2024-03-22,429.7,429.86,426.07,428.74,424.736449460998,17648473
2024-03-25,425.24,427.41,421.61,422.86,418.911356577594,18060450
2024-03-26,425.61,425.99,421.35,421.65,417.712655491043,16725647
2024-03-27,424.44,424.45,419.01,421.43,417.494709838943,16704978
2024-03-28,420.96,421.87,419.12,420.72,416.791339779892,21871161
2024-04-01,423.95,427.89,422.22,424.57,420.605388691645,15602611
2024-04-02,420.11,422.38,417.84,421.44,417.504616459493,17861855
2024-04-03,419.73,423.26,419.085,420.45,416.523861025042,16462007
2024-04-04,424.99,428.67,417.57,417.88,413.97785954369,19290884
2024-04-05,420.01,426.51,418.32,425.52,421.546517643896,16526878
2024-04-08,425.17,427.28,423.3,424.59,420.625201932745,14248192
2024-04-09,426.44,427.74,421.62,426.28,422.299420805696,12468710
2024-04-10,422.19,424.03,419.7,423.26,419.307621399594,16216581
2024-04-11,425.82,429.37,422.36,427.93,423.934013196447,17966423
2024-04-12,424.05,425.1794,419.77,421.9,417.960321004793,19253750
2024-04-15,426.6,426.82,413.43,413.64,409.777452430487,20273538
2024-04-16,414.57,418.4,413.7301,414.58,410.708674762188,16765616
2024-04-17,417.25,418.88,410.33,411.84,407.994260731486,15855485
2024-04-18,410.63,411.89,403.95,404.27,400.494948975131,21029917
2024-04-19,404.03,405.48,397.77,399.12,395.393039391877,30565789
2024-04-22,400.08,402.85,395.75,400.96,397.215857573078,20286875
2024-04-23,404.235,408.2,403.06,407.57,403.764133756633,15734501
2024-04-24,409.56,412.47,406.78,409.06,405.240220218584,15065330
2024-04-25,394.03,399.8899,388.03,399.04,395.313786427477,40586450
2024-04-26,412.17,413.0,405.7601,406.32,402.525806187882,29694654
2024-04-29,405.25,406.32,399.19,402.25,398.493811624029,19582091
2024-04-30,401.49,402.16,389.17,389.33,385.69445787342,28781374
2024-05-01,392.61,401.7199,390.31,394.94,391.252072001974,23562481
2024-05-02,397.66,399.93,394.6515,397.84,394.124991961476,17709364
2024-05-03,402.28,407.15,401.86,406.66,402.862631286582,17446724
2024-05-06,408.76,413.93,406.3701,413.54,409.678386224987,16996639
2024-05-07,414.66,414.67,409.09,409.34,405.517605593984,20018228
2024-05-08,408.17,412.23,406.7132,410.54,406.706400059985,11792308
2024-05-09,410.57,412.72,409.1,412.32,408.469778517886,14689727
2024-05-10,412.935,415.38,411.8,414.74,410.867180690988,13402281
2024-05-13,418.01,418.348,410.82,413.72,409.856705394887,15440226
2024-05-14,412.02,417.49,411.55,416.56,412.670185631089,15109306
2024-05-15,417.9,423.81,417.27,423.08,419.872298770944,22239533
2024-05-16,421.8,425.42,420.35,420.99,417.798144699773,17530050
2024-05-17,422.54,422.92,418.025,420.21,417.024058491393,15352239
2024-05-20,420.21,426.77,419.99,425.34,422.115163938814,16272137
2024-05-21,426.825,432.97,424.85,429.04,425.787111337539,21453255
2024-05-22,430.09,432.41,427.13,430.52,427.255890297029,18073698
2024-05-23,432.97,433.6,425.424,427.0,423.762578177161,17211689
2024-05-24,427.19,431.055,424.41,430.16,426.898619739315,11855285
2024-05-28,429.63,430.82,426.6,430.32,427.057406653855,15718024
2024-05-29,425.69,430.94,425.69,429.17,425.916125705602,15517130
2024-05-30,424.3,424.3,414.24,414.67,411.526061575464,28424847
2024-05-31,416.75,416.75,404.51,415.13,411.982573954765,47995250
2024-06-03,415.525,416.43,408.9234,413.52,410.384780627212,17484675
2024-06-04,412.43,416.44,409.675,416.07,412.915447077685,14348917
2024-06-05,417.81,424.08,416.3,424.01,420.795247711705,16988038
2024-06-06,424.01,425.31,420.58,424.52,421.301381001799,14861251
2024-06-07,426.2,426.28,423.0,423.85,420.636460797165,13621650
2024-06-10,424.7,428.08,423.89,427.87,424.625982024969,14003034
2024-06-11,425.475,432.82,425.25,432.68,429.399513643311,14551101
2024-06-12,435.32,443.4,433.25,441.06,437.715978292315,22366233
2024-06-13,440.85,443.39,439.37,441.58,438.232035764568,15960565
2024-06-14,438.275,443.1376,436.721,442.57,439.214529798281,13581985
2024-06-17,442.585,450.94,440.72,448.37,444.970555450336,20790030
2024-06-18,449.705,450.14,444.89,446.34,442.955946472117,17112504
2024-06-20,446.3,446.53,441.27,445.7,442.320798813959,19877378
2024-06-21,447.38,450.58,446.51,449.78,446.369865134715,34486172
2024-06-24,449.8,452.75,446.41,447.67,444.275862699226,15913719
2024-06-25,448.25,451.42,446.75,450.95,447.530994447285,16747529
2024-06-26,449.0,453.6,448.19,452.16,448.73182048849,16507030
2024-06-27,452.175,456.17,451.77,452.85,449.416589057441,14806324
2024-06-28,453.07,455.38,446.41,446.95,443.561321583799,28362271
2024-07-01,448.66,457.37,445.66,456.73,453.267171735023,17662818
2024-07-02,453.2,459.59,453.113,459.28,455.797838185495,13979779
2024-07-03,458.19,461.02,457.88,460.77,457.276541327144,9932830
2024-07-05,459.61,468.35,458.965,467.56,464.015061012912,16000290
2024-07-08,466.55,467.7,464.46,466.24,462.705068967961,12962321
2024-07-09,467.0,467.33,458.0,459.54,456.055866921622,17228507
2024-07-10,461.22,466.46,458.855,466.25,462.71499315012,18196100
2024-07-11,462.98,464.78,451.55,454.7,451.252562756803,23111175
2024-07-12,454.325,456.36,450.645,453.55,450.111281808551,16324274
2024-07-15,453.3,457.26,451.43,453.96,450.518173277058,14429447
2024-07-16,454.22,454.3,446.66,449.52,446.111836398589,17175679
2024-07-17,442.59,444.85,439.18,443.52,440.157327103359,21754021
2024-07-18,444.34,444.65,434.4,440.37,437.031209723364,20794822
2024-07-19,433.1,441.14,432.0,437.11,433.795926339622,20940417
2024-07-22,441.79,444.6,438.9125,442.94,439.581724538154,15808755
2024-07-23,443.895,448.39,443.1,444.85,441.477243330468,13107050
2024-07-24,440.45,441.48,427.585,428.9,425.648172787317,26805800
2024-07-25,428.8,429.8,417.51,418.4,415.227781520665,29943795
2024-07-26,418.2,428.915,417.27,425.27,422.045694663703,23583839
2024-07-29,431.58,432.15,424.7042,426.73,423.494625258876,15125836
2024-07-30,427.72,429.05,417.36,422.92,419.713511856405,32687578
2024-07-31,420.495,421.775,412.21,418.35,415.178160609872,42891366
2024-08-01,420.785,427.46,413.0901,417.11,413.947562022191,30296400
2024-08-02,412.49,415.0,404.34,408.49,405.392917001378,29437900
2024-08-05,389.17,401.04,385.58,395.15,392.154058001651,40709238
2024-08-06,400.0,405.67,398.5,399.61,396.580243244439,24946525
2024-08-07,408.635,410.08,397.47,398.43,395.40918974971,20650906
2024-08-08,402.44,405.86,399.9407,402.69,399.636891349323,20203030
2024-08-09,404.03,408.05,402.2624,406.02,402.941644008175,19276666
2024-08-12,407.06,408.76,404.2434,406.81,403.725654398714,16762883
2024-08-13,409.59,414.95,409.57,414.01,410.871065552989,19414271
2024-08-14,414.8,417.72,412.4456,416.86,413.699457468223,18266980
2024-08-15,419.8,421.11,417.66,421.03,418.582155090311,20752144
2024-08-16,420.6,421.34,417.3,418.47,416.037038787361,22775593
2024-08-19,418.96,421.75,416.46,421.53,419.079248118231,15233957
2024-08-20,421.7,425.86,421.64,424.8,422.330236520828,16387581
2024-08-21,424.075,426.4,421.72,424.14,421.674073723974,16067298
2024-08-22,424.36,426.7899,414.61,415.55,413.134015504308,19361901
2024-08-23,416.98,419.26,412.09,416.79,414.36680621355,18493784
2024-08-26,416.365,417.2799,411.34,413.49,411.085992229278,13152830
2024-08-27,412.86,414.36,410.25,413.84,411.433957348822,13492911
2024-08-28,414.88,415.0,407.31,410.6,408.2127945279,14882660
2024-08-29,414.94,422.05,410.6,413.12,410.718143388617,17045241
2024-08-30,415.6,417.49,412.13,417.14,414.714771333094,24308324
2024-09-03,417.91,419.88,407.03,409.44,407.059538703126,20313603
2024-09-04,405.91,411.24,404.37,408.9,406.522678232972,14886710
2024-09-05,407.62,413.1,406.13,408.39,406.015643344494,14195516
2024-09-06,409.06,410.65,400.8,401.7,399.364538630924,19609526
2024-09-09,407.24,408.65,402.15,405.72,403.361166575401,15295134
2024-09-10,408.2,416.33,407.7,414.2,411.791864328924,19594287
2024-09-11,415.5,423.99,409.58,423.04,420.58046906255,19266923
2024-09-12,423.31,427.3692,419.75,427.0,424.517445843676,17418759
2024-09-13,425.825,431.83,425.46,430.59,428.086573784142,15874555
2024-09-16,430.6,433.53,428.22,431.34,428.832213326022,13834697
2024-09-17,440.23,441.85,432.27,435.15,432.620062198772,18874231
2024-09-18,435.0,436.03,430.41,430.81,428.305294716426,18898042
2024-09-19,441.225,441.5,436.9,438.69,436.139480836446,21706559
2024-09-20,437.22,439.24,434.22,435.27,432.739364525473,55167106
2024-09-23,434.28,436.46,430.3889,433.51,430.989597067194,15128891
2024-09-24,433.0,433.35,426.1,429.17,426.674829584849,17015754
2024-09-25,429.83,433.119,428.57,432.11,429.597736589018,13396364
2024-09-26,435.085,435.3,429.13,431.31,428.802387744346,14492044
2024-09-27,431.52,431.85,427.47,428.02,425.531515620633,14896131
2024-09-30,428.21,430.42,425.37,430.3,427.798259827948,16854606
2024-10-01,428.45,428.48,418.81,420.69,418.244131831326,19092945
2024-10-02,422.58,422.82,416.71,417.13,414.704829472535,16582257
2024-10-03,417.63,419.55,414.29,416.54,414.11825969959,13686421
2024-10-04,418.24,419.75,414.97,416.06,413.641050392786,19190913
2024-10-07,416.0,417.11,409.0,409.54,407.15895730871,20919761
2024-10-08,410.9,415.66,408.17,414.71,412.298899217402,19229261
2024-10-09,415.86,420.38,414.3,417.46,415.032910870962,14974257
2024-10-10,415.225,417.35,413.15,415.84,413.422329460502,13848376
2024-10-11,416.135,417.13,413.25,416.32,413.899538767305,14144944
2024-10-14,417.77,424.04,417.52,419.14,416.703143444774,16653086
2024-10-15,422.18,422.48,415.26,418.74,416.305469022438,18900201
2024-10-16,415.17,416.36,410.48,416.12,413.700701556137,15508932
2024-10-17,422.36,422.5,415.59,416.72,414.297213189641,14820004
2024-10-18,417.14,419.65,416.2601,418.16,415.72884111005,17145317
2024-10-21,416.12,418.96,413.7501,418.78,416.345236464671,14206115
2024-10-22,418.49,430.5793,418.04,427.51,425.024480732154,25482197
2024-10-23,430.855,431.08,422.53,424.6,422.13139930966,19654379
2024-10-24,425.325,425.9782,422.4,424.73,422.260643496919,13581631
2024-10-25,426.76,432.52,426.565,428.15,425.660759807892,16899064
2024-10-28,431.655,431.94,426.3,426.59,424.109829560782,14882444
2024-10-29,428.0,433.17,425.8001,431.95,429.438666820084,17644080
2024-10-30,437.435,438.5,432.1,432.53,430.015294732471,29749149
2024-10-31,415.36,416.16,406.3,406.35,403.98750379058,53970981
2024-11-01,409.01,415.5,407.5,410.37,407.984131735057,24230442
2024-11-04,409.8,410.415,405.5713,408.46,406.085236368403,19672286
2024-11-05,408.37,414.9,408.08,411.46,409.067794535923,17626011
2024-11-06,412.42,420.45,410.52,420.18,417.737096942847,26681842
2024-11-07,421.28,426.85,419.88,425.43,422.956573736007,19901782
2024-11-08,425.32,426.5,421.78,422.54,420.08337603463,16891414
2024-11-11,422.515,424.81,416.0,418.01,415.579713201674,24503321
2024-11-12,418.25,424.44,417.2,423.03,420.570527201991,19401204
2024-11-13,421.64,429.325,418.21,425.2,422.727910943164,21502185
2024-11-14,425.0,428.17,420.0,426.89,424.408085377534,30246881
2024-11-15,419.82,422.8,413.64,415.0,412.587213173596,28247644
2024-11-18,414.87,418.4037,412.1,415.76,413.342794576034,24742013
2024-11-19,413.11,417.94,411.55,417.79,415.36099226939,18133529
2024-11-20,416.87,417.29,410.58,415.49,413.074364340958,19191655
