Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02 12:00:00,390.1,392.7299,373.04,379.28,379.28,109710749
2025-01-03 12:00:00,381.48,411.8799,379.45,410.44,410.44,95420249
2025-01-06 12:00:00,423.2,426.43,401.7,411.05,411.05,85489034
2025-01-07 12:00:00,405.83,414.33,390.0,394.36,394.36,75699525
2025-01-08 12:00:00,392.95,402.4999,387.4,394.94,394.94,73037605
2025-01-10 12:00:00,391.4,399.28,377.29,394.74,394.74,62276533
2025-01-13 12:00:00,383.21,403.79,380.07,403.31,403.31,67573994
2025-01-14 12:00:00,414.34,422.64,394.54,396.36,396.36,84565022
2025-01-15 12:00:00,409.9,429.8,405.661,428.22,428.22,81367740
2025-01-16 12:00:00,423.49,424.0,409.13,413.82,413.82,68333121
2025-01-17 12:00:00,421.5,439.74,419.75,426.5,426.5,94475829
2025-01-21 12:00:00,432.64,433.2,406.31,424.07,424.07,87318494
2025-01-22 12:00:00,416.81,428.0,414.59,415.11,415.11,60954842
2025-01-23 12:00:00,416.06,420.73,408.95,412.38,412.38,50643592
2025-01-24 12:00:00,414.45,418.88,405.78,406.58,406.58,56404149
2025-01-27 12:00:00,394.8,406.69,389.0,397.15,397.15,58125210
2025-01-28 12:00:00,396.91,400.59,386.5,398.09,398.09,48890976
2025-01-29 12:00:00,395.21,398.5899,384.48,389.1,389.1,67991348
2025-01-30 12:00:00,410.78,412.5,384.41,400.28,400.28,98092879
2025-01-31 12:00:00,401.53,419.99,401.34,404.6,404.6,83568219
2025-02-03 12:00:00,386.68,389.17,374.36,383.68,383.68,93731522
2025-02-04 12:00:00,382.63,394.0,381.4,392.21,392.21,57072235
2025-02-05 12:00:00,387.51,388.39,375.53,378.17,378.17,57614721
2025-02-06 12:00:00,373.03,375.4,363.18,374.32,374.32,77918230
2025-02-07 12:00:00,370.19,380.5459,360.34,361.62,361.62,70290753
2025-02-10 12:00:00,356.21,362.7,350.51,350.73,350.73,77514903
2025-02-11 12:00:00,345.8,349.37,325.1,328.5,328.5,118112400
2025-02-12 12:00:00,329.94,346.4,329.12,336.51,336.51,105367809
2025-02-13 12:00:00,345.0,358.69,342.85,355.94,355.94,89422619
2025-02-14 12:00:00,360.62,362.0,347.5,355.84,355.84,68277279
2025-02-18 12:00:00,355.01,359.1,350.02,354.11,354.11,51607522
2025-02-19 12:00:00,354.0,367.34,353.67,360.56,360.56,67090019
